pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
476,109.852,94.576,12.074,3.129,0
477,96.514,82.363,11.247,2.765,0
478,127.793,104.878,19.285,3.531,0
479,122.695,86.12,33.756,2.727,0
480,108.102,93.752,11.576,2.714,0
481,120.294,99.513,17.483,3.215,0
482,117.635,91.745,23.221,2.534,0
483,118.174,100.665,14.313,3.121,0
484,121.087,85.361,33.001,2.674,0
485,92.347,77.027,12.563,2.693,0
486,87.616,73.982,10.794,2.769,0
487,90.621,77.432,10.344,2.795,0
488,87.922,74.412,10.691,2.756,0
489,85.454,71.587,10.986,2.807,0
490,88.354,72.797,12.773,2.708,0
491,88.609,75.932,9.893,2.72,0
492,103.095,83.01,16.846,3.176,0
493,122.957,87.288,32.954,2.666,0
494,100.937,85.414,12.723,2.743,0
495,111.048,89.881,17.687,3.393,0
496,103.285,78.393,22.174,2.606,0
497,113.659,96.82,13.635,3.144,0
498,115.607,83.494,29.402,2.639,0
499,99.11,84.986,11.267,2.794,0
