pair,wall_ms,superpoint_ms,mambaglue_ms,geometry_ms,degenerate
490,364.833,193.393,79.402,91.957,0
491,398.445,193.056,78.317,126.971,0
492,435.915,193.227,79.492,163.112,0
493,387.781,193.279,78.305,116.113,0
494,462.772,192.074,78.276,192.338,0
495,418.087,193.337,79.208,145.457,0
496,355.521,193.497,79.314,82.614,0
497,417.87,193.994,78.923,144.854,0
498,412.976,195.401,78.762,138.723,0
499,491.651,195.445,78.671,217.446,0
